Issue Type,Summary,Description,Priority,Story Points,Sprint,Labels,Epic
Story,Entrevistas con el área de servicio al cliente,Como PM quiero entrevistar a los agentes para identificar las consultas más frecuentes y sus dolores.,High,3,Sprint 1,asistia e1,E1. Descubrimiento y caso de negocio
Story,Análisis del volumen y tipología de consultas,Como PO quiero clasificar las consultas históricas para saber cuáles se pueden automatizar.,High,5,Sprint 1,asistia e1,E1. Descubrimiento y caso de negocio
Story,Definición de métricas de éxito y línea base,Como patrocinador quiero métricas claras para saber si el proyecto generó valor.,Highest,3,Sprint 1,asistia e1,E1. Descubrimiento y caso de negocio
Story,Validación del caso de negocio con el patrocinador,Como PM quiero validar el caso de negocio para obtener la autorización formal del proyecto.,Highest,2,Sprint 1,asistia e1,E1. Descubrimiento y caso de negocio
Story,Inventario de fuentes de información,"Como equipo quiero inventariar FAQ, manuales y tickets para conocer el material disponible.",High,3,Sprint 1,asistia e2,"E2. Datos: fuentes, calidad y gobierno"
Story,Extracción y limpieza del corpus documental,Como equipo quiero un corpus limpio y estructurado para que el asistente responda con información correcta.,Highest,8,Sprint 2,asistia e2,"E2. Datos: fuentes, calidad y gobierno"
Story,Política de datos personales y anonimización,Como oficial de datos quiero que los datos de clientes se anonimicen para cumplir la Ley 1581.,Highest,5,Sprint 2,asistia e2,"E2. Datos: fuentes, calidad y gobierno"
Story,Proceso de actualización periódica del corpus,Como PO quiero un proceso definido de actualización para que la información no quede obsoleta.,Medium,3,Sprint 3,asistia e2,"E2. Datos: fuentes, calidad y gobierno"
Story,Selección del modelo y del enfoque técnico,Como equipo quiero evaluar alternativas de modelo y enfoque para elegir la más adecuada al caso.,Highest,5,Sprint 2,asistia e3,E3. Modelo de IA: línea base y evaluación
Story,Prototipo de línea base de respuestas,Como PO quiero un prototipo funcional para validar tempranamente la calidad de las respuestas.,Highest,8,Sprint 3,asistia e3,E3. Modelo de IA: línea base y evaluación
Story,Conjunto de evaluación con 200 preguntas reales,Como QA quiero un conjunto de evaluación para medir objetivamente el acierto del asistente.,High,5,Sprint 3,asistia e3,E3. Modelo de IA: línea base y evaluación
Story,Iteración de mejora sobre los resultados de evaluación,Como equipo quiero iterar sobre los errores detectados para superar el 85 % de acierto.,Highest,8,Sprint 4,asistia e3,E3. Modelo de IA: línea base y evaluación
Story,Definición de la arquitectura de la solución,Como equipo quiero una arquitectura definida para construir sobre una base técnica acordada.,High,5,Sprint 1,asistia e4,E4. Plataforma e infraestructura
Story,"Ambientes de desarrollo, pruebas y producción",Como TI quiero ambientes separados para no afectar la operación durante el desarrollo.,High,5,Sprint 2,asistia e4,E4. Plataforma e infraestructura
Story,"Repositorio, control de versiones e integración continua",Como equipo quiero versionamiento e integración continua para trabajar de forma ordenada.,Medium,3,Sprint 2,asistia e4,E4. Plataforma e infraestructura
